tenure,InternetService_Fiber optic,Contract_Two year,PaymentMethod_Electronic check,OnlineBackup_No internet service,TechSupport_No internet service,StreamingMovies_No internet service,DeviceProtection_No internet service,StreamingTV_No internet service,InternetService_No,OnlineSecurity_No internet service,TotalCharges,MonthlyCharges,PaperlessBilling,Churn
1,False,False,True,False,False,False,False,False,False,False,29.85,29.85,1,0
34,False,False,False,False,False,False,False,False,False,False,1889.5,56.95,0,0
2,False,False,False,False,False,False,False,False,False,False,108.15,53.85,1,1
45,False,False,False,False,False,False,False,False,False,False,1840.75,42.3,0,0
2,True,False,True,False,False,False,False,False,False,False,151.65,70.7,1,1
8,True,False,True,False,False,False,False,False,False,False,820.5,99.65,1,1
22,True,False,False,False,False,False,False,False,False,False,1949.4,89.1,1,0
10,False,False,False,False,False,False,False,False,False,False,301.9,29.75,0,0
28,True,False,True,False,False,False,False,False,False,False,3046.05,104.8,1,1
62,False,False,False,False,False,False,False,False,False,False,3487.95,56.15,0,0
13,False,False,False,False,False,False,False,False,False,False,587.45,49.95,1,0
16,False,True,False,True,True,True,True,True,True,True,326.8,18.95,0,0
58,True,False,False,False,False,False,False,False,False,False,5681.1,100.35,0,0
49,True,False,False,False,False,False,False,False,False,False,5036.3,103.7,1,1
25,True,False,True,False,False,False,False,False,False,False,2686.05,105.5,1,0
69,True,True,False,False,False,False,False,False,False,False,7895.15,113.25,0,0
52,False,False,False,True,True,True,True,True,True,True,1022.95,20.65,0,0
71,True,True,False,False,False,False,False,False,False,False,7382.25,106.7,0,0
10,False,False,False,False,False,False,False,False,False,False,528.35,55.2,0,1
21,True,False,True,False,False,False,False,False,False,False,1862.9,90.05,1,0
1,False,False,True,False,False,False,False,False,False,False,39.65,39.65,1,1
12,False,False,False,True,True,True,True,True,True,True,202.25,19.8,0,0
1,False,False,False,True,True,True,True,True,True,True,20.15,20.15,0,1
58,False,True,False,False,False,False,False,False,False,False,3505.1,59.9,1,0
49,False,False,False,False,False,False,False,False,False,False,2970.3,59.6,0,0
30,False,False,False,False,False,False,False,False,False,False,1530.6,55.3,1,0
47,True,False,True,False,False,False,False,False,False,False,4749.15,99.35,1,1
1,False,False,True,False,False,False,False,False,False,False,30.2,30.2,0,1
72,False,True,False,False,False,False,False,False,False,False,6369.45,90.25,1,0
17,False,False,False,False,False,False,False,False,False,False,1093.1,64.7,1,1
